Marriage,Husband,Wife,Date,Place,Source,Note
[F0076],[I0127],[I0136],,,,
[F0077],[I0128],[I0137],,,,
[F0078],[I0138],,,,,
[F0079],[I0142],[I0140],,,,
[F0080],[I0141],[I0143],,,,
[F0081],[I0148],[I0144],,,,
[F0082],[I0139],[I0145],,,,
[F0083],[I0146],[I0149],,,,
[F0084],[I0147],[I0150],,,,
[F0085],[I0151],[I0152],,,,
[F0086],[I0155],[I0161],,,,
[F0087],[I0156],[I0162],,,,
[F0088],[I0157],[I0163],,,,
[F0089],[I0158],[I0164],,,,
[F0090],[I0166],[I0159],,,,
[F0091],[I0167],[I0160],,,,
[F0092],[I0168],[I0172],,,,
[F0093],[I0169],[I0173],,,,
[F0094],[I0170],[I0174],,,,
[F0095],[I0175],[I0171],,,,
[F0096],[I0601],[I0176],,,,
[F0097],,,,,,
[F0098],[I0177],,,,,
[F0099],[I0178],,,,,
[F0100],[I0179],,,,,
[F0101],[I0188],[I0186],,,,
[F0102],[I0189],[I0187],,,,
[F0103],[I0183],[I0182],,,,
[F0104],[I0181],[I0184],,,,
[F0105],[I0180],[I0185],,,,
[F0106],[I0190],[I0198],,,,
[F0107],[I0199],[I0194],,,,
[F0108],[I0192],[I0200],,,,
[F0109],[I0205],[I0197],,,,
[F0110],[I0207],[I0206],,,,
[F0111],[I0520],[I0201],,,,
[F0112],[I0212],[I0213],,,,
[F0113],,[I0208],,,,
[F0114],,[I0209],,,,
[F0115],[I0214],[I0223],,,,
[F0116],[I0215],[I0224],,,,
[F0117],[I0218],[I0225],,,,
[F0118],[I0216],[I0211],,,,
[F0119],[I0210],[I0217],,,,
[F0120],[I0227],[I0226],,,,
[F0121],[I0232],,,,,
[F0122],[I0233],,,,,
[F0123],,,,,,
[F0124],,[I0235],,,,
[F0125],[I0236],[I0238],,,,
[F0126],[I0240],[I0242],,,,
[F0127],[I0237],[I0243],,,,
[F0128],,,,,,
[F0129],[I0268],[I0244],,,,
[F0130],[I0241],[I0245],,,,
[F0131],,,,,,
[F0132],[I0246],,,,,
[F0133],[I0239],[I0234],,,,
[F0134],[I0257],[I0258],,,,
[F0135],[I0259],,,,,
[F0136],[I0299],[I0260],,,,
[F0137],[I0253],[I0261],,,,
[F0138],[I0262],[I0255],,,,
[F0139],[I0256],[I0263],,,,
[F0140],[I0264],[I0254],,,,
[F0141],[I0265],[I0254],,,,
[F0142],,,,,,
[F0143],[I0264],[I0266],,,,
[F0144],[I0264],[I0252],,,,
[F0145],[I0267],[I0251],,,,
[F0146],[I0281],[I0269],,,,
[F0147],,,,,,
[F0148],[I0282],[I0270],,,,
[F0149],[I0283],[I0271],,,,
[F0150],[I0285],[I0271],,,,
[F0151],[I0272],[I0284],,,,
[F0152],[I0286],[I0273],,,,
[F0153],[I0274],[I0287],,,,
[F0154],[I0275],[I0288],,,,
[F0155],[I0276],[I0289],,,,
[F0156],[I0277],[I0290],,,,
[F0157],[I0278],[I0291],,,,
[F0158],[I0279],[I0292],,,,
[F0159],[I0293],[I0294],,,,
[F0160],[I0295],[I0297],,,,
[F0161],[I0296],[I0298],,,,
[F0162],[I0409],[I0374],,,,
[F0163],[I0300],[I0321],,,,
[F0164],[I0302],[I0301],,,,
[F0165],[I0303],[I0305],,,,
[F0166],[I0306],[I0304],,,,
[F0167],[I0307],[I0308],,,,
[F0168],[I0310],,,,,
[F0169],[I0309],,,,,
[F0170],[I0315],[I0313],,,,
[F0171],[I0349],[I0480],,,,
[F0172],[I0368],[I0322],,,,
[F0173],[I0410],[I0323],,,,
[F0174],[I0320],[I0337],,,,
[F0175],[I0524],[I0517],,,,
[F0176],[I0525],,,,,
[F0177],,,,,,
[F0178],[I0526],,,,,
[F0179],[I0527],,,,,
[F0180],[I0311],[I0338],,,,
[F0181],[I0312],[I0339],,,,
[F0182],[I0316],[I0314],,,,
[F0183],[I0317],[I0326],,,,
[F0184],[I0318],[I0325],,,,
[F0185],[I0324],[I0319],,,,
[F0186],[I0327],[I0332],,,,
[F0187],[I0328],[I0331],,,,
[F0188],[I0333],[I0330],,,,
[F0189],[I0334],[I0329],,,,
[F0190],[I0335],[I0336],,,,
[F0191],[I0249],[I0247],,,,
[F0192],[I0248],[I0250],,,,
[F0193],,[I0340],,,,
[F0194],[I0341],,,,,
[F0195],[I0347],,,,,
[F0196],[I0344],[I0348],,,,
[F0197],[I0343],[I0345],,,,
[F0198],[I0342],[I0346],,,,
[F0199],[I0350],[I0351],,,,
[F0200],[I0358],[I0352],,,,
[F0201],[I0358],[I0359],,,,
[F0202],[I0360],[I0353],,,,
[F0203],[I0407],,,,,
